VALUE,CCPO,NAME,,
0,CCPO0,CTRL_NONE_SELECTED,,1
1,CCPO1,CTRL_JCOMM_TORQUE,,2
2,CCPO2,CTRL_JCOMM_SPEED,,4
4,CCPO4,CTRL_PTO,,6
6,CCPO6,CTRL_LIMP_HOME_TORQUE,,7
7,CCPO7,CTRL_ABS,,8
8,CCPO8,CTRL_ABT,,9
9,CCPO9,CTRL_CC,,10
10,CCPO10,CTRL_RSC,,11
11,CCPO11,CTRL_LSI,,12
12,CCPO12,CTRL_HSI,,16
15,CCPO15,CTRL_TURBO_OVERSPEED,,18
16,CCPO16,CTRL_OFC_FUEL_LIMIT,,19
17,CCPO17,CTRL_TRANSIENT_NOISE,,20
18,CCPO18,CTRL_EPD_SPEED,,21
19,CCPO19,CTRL_TORQUE_CURVE,,22
20,CCPO20,CTRL_JCOMM_TORQUE_DERATE,,24
21,CCPO21,CTRL_OOG_TORQUE_LIMIT,,26
22,CCPO22,CTRL_CRANK,,27
23,CCPO23,CTRL_FUEL_OVERRIDE,,29
24,CCPO24,CTRL_RETARDER,,36
25,CCPO25,CTRL_ENGINE_OVERSPEED,,46
26,CCPO26,CTRL_STOP,,47
27,CCPO27,CTRL_SHUTDOWN,,48
28,CCPO28,CTRL_FSS_DERATE,,56
29,CCPO29,CTRL_EPD_TORQUE_LIMIT,,57
33,CCPO33,CTRL_ENGINE_START_OIL_LIMIT,,58
34,CCPO34,CTRL_PTO_TORQUE_LIMIT,,59
36,CCPO36,CTRL_POWERTAIN_PROTECTION,,105
41,CCPO41,CTRL_ANTI_THEFT,,106
45,CCPO45,CTRL_VAM,,203
46,CCPO46,CTRL_AIR_DENSITY_FUEL_LIMIT,,205
47,CCPO47,CTRL_CHI_FUEL_LIMIT,,
48,CCPO48,CTRL_TFC_FUEL_LIMIT,,
49,CCPO49,CTRL_GROSS_FUEL_OVERRIDE,,
50,CCPO50,CTRL_CHM_TORQUE_LIMIT,,
51,CCPO51,CTRL_JCOMM_PTP_DERATE,,
52,CCPO52,CTRL_LIMP_HOME_SPEED,,
53,CCPO53,CTRL_TIS_DYNO,,
54,CCPO54,CTRL_VSS_DIAGNOSTICS,,
55,CCPO55,CTRL_ESCC,,
56,CCPO56,CTRL_WPD,,
57,CCPO57,CTRL_TSD,,
58,CCPO58,CTRL_EWP,,
59,CCPO59,CTRL_JCOMM_SPEED_LIMIT,,
60,CCPO60,CTRL_AUX_NDOT,,
61,CCPO61,CTRL_FIW,,
62,CCPO62,CTRL_FIW_RAMP,,
63,CCPO63,CTRL_AFW,,
66,CCPO66,CTRL_REGEN,,
67,CCPO67,CTRL_RTD,,
68,CCPO68,CTRL_IRD,,
69,CCPO69,CTRL_LBSC,,
70,CCPO70,CTRL_XSC,,
71,CCPO71,CTRL_XPC,,
73,CCPO73,CTRL_TORQUE_RATE,,
74,CCPO74,CTRL_OBD,,
75,CCPO75,CTRL_JCOMM_MEO,,
76,CCPO76,CTRL_FUELING_SURGE_LIMIT,,
77,CCPO77,CTRL_CPL,,
78,CCPO78,CTRL_ESM_XWIRE,,
79,CCPO79,CTRL_JCOMM_MAX_LSI,,
81,CCPO81,CTRL_LDI,,
82,CCPO82,CTRL_AC_LSI,,
84,CCPO84,CTRL_RS,,
202,CCPO202,CTRL_IDD,,
256,CCPO256,CTRL_FSS_TRQ_DERATE,,
